run,cenario,N,tempo_ms,gflops,gpu_temp_c,timestamp,observacao
20,rtx5060ti_cublas_fp32,4096,9.082816,15131.7556,58,2026-05-09T12:05:35.255037,delta_temp_alto
21,rtx5060ti_cublas_fp32,4096,8.552640,16069.7696,58,2026-05-09T12:05:35.281405,delta_temp_alto
22,rtx5060ti_cublas_fp32,4096,8.323840,16511.4840,58,2026-05-09T12:05:35.289763,delta_temp_alto
23,rtx5060ti_cublas_fp32,4096,9.243584,14868.5789,58,2026-05-09T12:05:35.299038,delta_temp_alto
24,rtx5060ti_cublas_fp32,4096,9.069312,15154.2865,58,2026-05-09T12:05:35.308131,delta_temp_alto
25,rtx5060ti_cublas_fp32,4096,8.354528,16450.8332,58,2026-05-09T12:05:35.316509,delta_temp_alto
26,rtx5060ti_cublas_fp32,4096,8.551744,16071.4523,57,2026-05-09T12:05:35.344515,delta_temp_alto
27,rtx5060ti_cublas_fp32,4096,8.136128,16892.4268,57,2026-05-09T12:05:35.352677,delta_temp_alto
28,rtx5060ti_cublas_fp32,4096,9.074496,15145.6290,57,2026-05-09T12:05:35.361776,delta_temp_alto
29,rtx5060ti_cublas_fp32,4096,8.346336,16466.9799,57,2026-05-09T12:05:35.370151,delta_temp_alto
30,rtx5060ti_cublas_fp32,4096,8.897376,15447.1332,57,2026-05-09T12:05:35.379070,delta_temp_alto
